Substance,Period,Date,Value
Highest SO 2,24h,01.12.2020,125.0
Highest ČAĐ,24h,06.12.2017,194.0
Highest NH3,24h,10.07.2017,105.0
Highest TSP,24h,,120.0
Highest PM10,24h,10.01.2020,233.0
Highest BC,24h,19.02.2019,34.0
Highest UV,24h,19.02.2019,38.0
Highest Benzen,24h,,1.0
Highest Benzene,24h,,12.0
Lowest SO 2,24h,,1.0
Lowest ČAĐ,24h,,1.0
Lowest NH3,24h,,1.0
Lowest TSP,24h,,120.0
Lowest PM10,24h,,3.0
Lowest BC,24h,07.12.2020,0.0
Lowest UV,24h,30.05.2021,0.0
Lowest Benzen,24h,,1.0
Lowest Benzene,24h,,2.0
